Shelter Name,Address,Website,ResultCard Description,ResultCard Description Full,Phone 1,Phone 2,Email,Map Link
Emerald Centre,"271 Victoria Street West, Kamloops, BC V2C 1A5",https://www.kamloops.cmha.bc.ca/programs-services/homeless-shelter,"A co-ed, low-barrier shelter that provides 40 beds to members of the community who are experiencing homelessness; accepts all genders.","Provided by Canadian Mental Health Association (CMHA) - Kamloops Branch18 other services offered by this agencyA co-ed, low-barrier shelter that provides 40 beds to members of the community who are experiencing homelessness; accepts all genders.A co-ed, low-barrier shelter that provides 40 beds to members of the community who are experiencing homelessness; accepts all genders. 24-hour shelter that operates daily, year-round. Clients are provided with a clean bed, meals, and access to support workers, plus a case management team that works with them to help access available services and find stable housing. Offers education on safe drug use and incorporates harm reduction services for people who use substances, including distributing supplies for safe drug use and referring clients to additional support programs and services. Funded by BC Housing.",250-372-3031,N/A,emerald.centre@cmha.bc.ca,/result/emerald-centre-9509995
Emergency Shelter - Powell River (qathet),"4746 Joyce Avenue, Powell River, BC V8A 3B6",https://www.liftcommunityservices.org,"Year-round, 24-hour low-barrier emergency shelter provides 20 beds for homeless adults of any gender.","Provided by LIFT Community Services16 other services offered by this agencyYear-round, 24-hour low-barrier emergency shelter provides 20 beds for homeless adults of any gender.Year-round, 24-hour low-barrier emergency shelter provides 20 beds for homeless adults of any gender. Provides daily meals, resource navigation, harm reduction supplies, laundry facilities, and connection to community supports. Intake starts at 4 pm daily; beds available on a first-come, first-served basis. Separate rooms are available for women and gender diverse individuals. Storage space is available. Pets are allowed. Not wheelchair accessible. Funded by BC Housing.",604-578-0633,N/A,housingservices@liftcommunityservices.org,/result/emergency-shelter-powell-river-qathet-59411672
Emergency Shelter for Men,"601 East Hastings Street, Vancouver, BC V6A 1J7",https://www.ugm.ca,"Provides a clean, safe, sober environment for up to 92 self-identified men from 9 pm to 6:50 am daily.","Provided by Union Gospel Mission (UGM)16 other services offered by this agencyProvides a clean, safe, sober environment for up to 92 self-identified men from 9 pm to 6:50 am daily.Provides a clean, safe, sober environment for up to 92 self-identified men from 9 pm to 6:50 am daily. Consists of five separate rooms with bunk beds. Tickets to reserve spot on the waitlist are handed out at 5 pm at reception. Intake occurs on a first-come, first-served basis, and begins at 9 pm at the Cornerstone Drop-In Centre (entrance on Princess Street). Offers showers, limited laundry facilities, case management, and referrals to housing, recovery, legal, and immigration services. Bible devotions, spiritual supports, and prayer are available. Individuals must be able to access services independently as there are no one-on-one or medical supports. Does not accept pets (licensed guide dogs allowed). Does not have cart or baggage storage. Wheelchair accessible.",604-253-3323,N/A,ugm@ugm.ca,/result/emergency-shelter-for-men-9493731
Evelyne Saller Temporary Winter Response Shelter,"404 Alexander Street, Vancouver, BC V6A 1C6",N/A,"Provides seasonal, low-barrier, overnight emergency housing on mats for 42 homeless adults from November 1st to April 30th.","Provided by City of Vancouver42 other services offered by this agencyProvides seasonal, low-barrier, overnight emergency housing on mats for 42 homeless adults from November 1st to April 30th.Provides seasonal, low-barrier, overnight emergency housing on mats for 42 homeless adults from November 1st to April 30th.  Shelter hours are 11 pm to 7:30 am Monday to Friday, and 10 pm to 7:30 am Saturdays and Sundays. Mats are allocated on a first-come, first-served basis. Please call first. Community members can register for a mat, in person only, with the Shelter Coordinator. Guests must be physically able to get on and off the mats without any physical assistance. If registered patrons do not arrive by 11:15 pm Monday to Friday, or 10:15 pm Saturday and Sunday, their mat will be given away, for that night, on a first come first served basis to unregistered folks waiting outside. If registered patrons do not show up two nights in a row, they will lose their reserved mat. No admittance after 1 am. Evening snack and morning snack and meal ticket provided. Storage space for carts is not available. Pets are not allowed. Shelter is wheelchair accessible however guests must transfer to and from their mats independently.",604-665-3075,N/A,N/A,/result/evelyne-saller-temporary-winter-response-shelter-82058815
Evergreen Emergency Shelter,"690 Evergreen Road, Campbell River, BC V9W 3R8",https://www.oceancrestchurch.org/serving-campbell-river,"Provides year-round, low-barrier, 24-hour emergency housing for 22 adults of all genders experiencing homelessness.","Provided by The Salvation Army - BC Division221 other services offered by this agencyProvides year-round, low-barrier, 24-hour emergency housing for 22 adults of all genders experiencing homelessness.Provides year-round, low-barrier, 24-hour emergency housing for 22 adults of all genders experiencing homelessness. Services include breakfast and dinner daily as well as lunch on the weekends. Other services include laundry, hygiene supplies, information, and referrals to community services. Health-related services include harm reduction information and supplies. Also offers medication storage but staff cannot administer. Provides limited storage space including a bike rack. Pets are allowed on a case-by-case basis. People may be admitted when intoxicated, but cannot use on the premises, must be medically independent, and must agree to behavioural guidelines. Referral accepted from self or other. Shelter is not wheelchair accessible.",250-287-3791,N/A,evergreenshelter@oceancrestchurch.org,/result/evergreen-emergency-shelter-9508506
Extreme Weather Response (EWR) Program,No  address available,https://www.bchousing.org/housing-assistance/homelessness-services/emergency-shelter-program,Provides individuals and families in need with temporary shelter beds during extreme weather conditions between November 1st through to March 31st.,"Provided by BC Housing33 other services offered by this agencyProvides individuals and families in need with temporary shelter beds during extreme weather conditions between November 1st through to March 31st.Provides individuals and families in need with temporary shelter beds during extreme weather conditions between November 1st through to March 31st. Each community decides on a local basis when to issue an Extreme Weather Alert based on current conditions and local forecasts, determining when locations will be open, and the number of spaces available. Shelters remain open only for the duration of the Extreme Weather Alert. The online BC Shelter Map shows locations of EWR shelters across the province, and whether they are open or closed.",604-433-2218,1-800-257-7756,N/A,/result/extreme-weather-response-ewr-program-42387517
Father Poullet Shelter,"4903 48th Avenue, Fort Nelson, BC V0C 1R0",https://www.fnafs.org,Minimal barrier emergency shelter for men ages 19 and over with six beds and a refuge area.,"Provided by Fort Nelson Aboriginal Friendship Society10 other services offered by this agencyMinimal barrier emergency shelter for men ages 19 and over with six beds and a refuge area.Minimal barrier emergency shelter for men ages 19 and over with six beds and a refuge area. Provides snacks, food vouchers, clothing, toiletries, showers, and free off-site laundry services. Also provides information and referrals to community services, and case planning. Transportation to shelter and to appointments is available. Blankets are given to turnaways. Zero tolerance for alcohol and drug use. Intake and shelter operates 24 hours daily; clients are expected to vacate premises between 10 am and 3 pm for personal activities, except during extreme weather conditions or a crisis. Limited storage space. Pets cannot be accommodated. Not wheelchair accessible. Funded by BC Housing.",250-774-3816,250-774-2993,emergencyshelter.fnafs@northwestel.net,/result/father-poullet-shelter-9510019
First Unitarian Fellowship of Nanaimo,"1-595 Townsite Road, Nanaimo, BC V9S 1K9",https://www.ufon.ca/weather-shelter,Operates the year-round Nanaimo Unitarian Shelter emergency shelter with 25 beds for adults of all genders.,"Operates the year-round Nanaimo Unitarian Shelter emergency shelter with 25 beds for adults of all genders.Operates the year-round Nanaimo Unitarian Shelter emergency shelter with 25 beds for adults of all genders. Offers dinner and breakfast daily, laundry service, and other supports. Accepts pets. Hours are 5 pm to 7:30 am. Also open during the day for previous night's guests during extreme weather emergencies. Funded by BC Housing. Also operates a free shower program in partnership with City of Nanaimo at Caledonia Park (110 Wall Street) from 7 am to 12 noon Monday to Friday. Last shower starts at 11:30 am; towels and toiletries provided. Shower program funded by City of Nanaimo and Government of Canada.",250-754-3720,N/A,shelter@ufon.ca,/agency-details/first-unitarian-fellowship-of-nanaimo-41033839
First United Shelter Program,"467 Alexander Street, Vancouver, BC V6A 1C6",https://firstunited.ca,"Provides year-round, low-barrier, 24-hour emergency shelter for men and women, including who have substance use and/or mental health issues.","Provided by First United Church Community Ministry Society5 other services offered by this agencyProvides year-round, low-barrier, 24-hour emergency shelter for men and women, including who have substance use and/or mental health issues.Provides year-round, low-barrier, 24-hour emergency shelter for men and women, including who have substance use and/or mental health issues. Provides 25 beds for men, and 26 beds for women, ages 19 and up. Services include daily meals, showers and toiletries. People under the influence may be admitted, and substance use is not allowed inside the building or on the property. Violence is not tolerated. In-out access is allowed 24 hours a day. Pets are permitted on a case-by-case basis. Shelter residents are assigned one locker for the duration of their stay. Health-related services include 21-hour access to bed rest (24 hours with a note from a doctor or nurse), home nursing through referral, and home care through referral. Facility is wheelchair accessible.",604-839-6880,N/A,info@firstunited.ca,/result/first-united-shelter-program-9509838
Food for the Soul Project Society,"1-22335 Lougheed Highway, Maple Ridge, BC V2X 2T3",https://www.fftsp.org,Provides a variety of services for individuals age 18 and over with addictions or mental health issues in Maple Ridge and Abbotsford.,"2 services offered by this service providerProvides a variety of services for individuals age 18 and over with addictions or mental health issues in Maple Ridge and Abbotsford.Provides a variety of services for individuals age 18 and over with addictions or mental health issues in Maple Ridge and Abbotsford. Also assists those who are low income or experiencing homelessness. Services include primary care as well as groceries, clothing, housing and shelter referrals, and a volunteer-run support group for depression and/or anxiety. The Food for the Soul (OAT) Clinic provides a supportive, multidisciplinary, outpatient opioid substitution therapy program for individuals who use heroin or other opiates; offers assessment, long-term stabilization on methadone or suboxone, and withdrawal management. Clients may qualify for coverage or reimbursement. Also offers free addictions counselling. Staff speak English, Punjabi, and Farsi. Interpretation/translation services available. Clients can book appointments for addictions services online. Wheelchair accessible. Office and clinic hours are 9 am to 5 pm Monday to Friday, and 9 am to 4 pm on weekends, including statutory holidays. Nonprofit society, registered charity.",604-380-1608,N/A,info@fftsp.org,/agency-details/food-for-the-soul-project-society-65566274
Foxglove Shelter,"9810 Foxglove Drive, Surrey, BC V3T 4M5",https://www.raincityhousing.org/about/programs,"Provides low-barrier shelter rooms for adults (14 for male-identified individuals, 14 for female-identified individuals, and three for non-binary individuals) who are currently homeless or unstably housed.","Provided by RainCity Housing and Support Society49 other services offered by this agencyProvides low-barrier shelter rooms for adults (14 for male-identified individuals, 14 for female-identified individuals, and three for non-binary individuals) who are currently homeless or unstably housed.Provides low-barrier shelter rooms for adults (14 for male-identified individuals, 14 for female-identified individuals, and three for non-binary individuals) who are currently homeless or unstably housed. Daily meals and laundry facilities are available to all supportive housing and shelter residents. 24-hour support staff provide access to a medication program, overdose prevention services, and Indigenous cultural and peer supports. People accessing enhanced health supports will have access to on-site and in-reach clinical services provided by Fraser Health. No storage space available. Pets are accepted. Wheelchair accessible. Call between 7 am and 3 pm to be added to waitlist.",604-589-0496,N/A,kparker@raincityhousing.org,/result/foxglove-shelter-83207140
Fraserside Emergency Family Shelter,No  address available,https://www.fraserside.bc.ca/social-housing/emergency-family-shelter,"12-bed short-stay, communal living home for families with children and single self-identified women.","Provided by Fraserside Community Services Society21 other services offered by this agency12-bed short-stay, communal living home for families with children and single self-identified women.12-bed short-stay, communal living home for families with children and single self-identified women. Families can be two-parent families or single parents (men or women and their children); no single men. Includes meals and emergency clothing. Provides assistance with life and parenting skills as well as personal case planning and support with housing and community resources. No alcohol or drug use allowed. Not wheelchair accessible; pets not allowed. Call to arrange intake.",604-525-3929,N/A,info@fraserside.bc.ca,/result/fraserside-emergency-family-shelter-9492452
Friendship Lelum Aboriginal Youth Safe House,No  address available,https://www.tillicumlelum.ca/programs/youth,"Provides short-term, emergency shelter for youth ages 12 to 18 who are experiencing stressful situations and have been identified as at-risk.","Provided by Tillicum Lelum Aboriginal Friendship Centre15 other services offered by this agencyProvides short-term, emergency shelter for youth ages 12 to 18 who are experiencing stressful situations and have been identified as at-risk.Provides short-term, emergency shelter for youth ages 12 to 18 who are experiencing stressful situations and have been identified as at-risk. Works to promote a safe, secure, stable, and nurturing environment. Services include advocacy, referrals, and support. 24-hour shelter, with intake at any time, although pre-arranging an intake time is welcome. Maximum stay is two weeks, but can be extended if necessary. Accepts all genders; individual rooms are available if house isn't full. Indigenous-based programming, but open to all youth. Permission of legal guardian is required. Not able to accommodate pets. Limited storage space for bikes. Wheelchair accessible.",250-753-8266,N/A,N/A,/result/friendship-lelum-aboriginal-youth-safe-house-9509043
Gateway Shelter,"10667 135A Street, Surrey, BC V3T 4E3",https://www.lookoutsociety.ca,"A low-barrier, year-round shelter for homeless adults; 32 beds for men, and eight for women.","Provided by Lookout Housing and Health Society69 other services offered by this agencyA low-barrier, year-round shelter for homeless adults; 32 beds for men, and eight for women.A low-barrier, year-round shelter for homeless adults; 32 beds for men, and eight for women. The Front Room provides services to residents only and include shower and laundry facilities, reading and television areas, telephone accessibility, and coffee. Lunch is available to residents at 12 noon, and dinner at 5 pm, seven days a week. Health-related services include 24-hour access to bed rest. A safe injection area and smoking tent are available from 1 pm to 3 pm daily; can provide medication storage as requested. Pets are welcome, but will be kept in cages. The Housing Program provides outreach and housing assistance. Can accommodate longer-term stays for individuals who have shown a commitment to finding housing. Referral accepted from self or other. First-come, first served; call for intake. Wheelchair accessible. Operated in partnership with and funded by BC Housing.",604-589-7777,N/A,surrey.shelter@lookoutsociety.ca,/result/gateway-shelter-9493226
Gateway of Hope Emergency Shelter,"5787 Langley Bypass, Langley, BC V3A 0A9",https://www.gatewayofhope.ca/gateway-services/emergency-shelter,Provides 32 emergency shelter beds for adults who are homeless or at risk of homelessness.,"Provided by The Salvation Army - BC Division221 other services offered by this agencyProvides 32 emergency shelter beds for adults who are homeless or at risk of homelessness.Provides 32 emergency shelter beds for adults who are homeless or at risk of homelessness. Accepts all genders; accommodation is in two dorms with 22 beds for masculine-identifying individuals and 10 beds for feminine-identifying individuals. Shelter guests are provided with three hot meals a day, as well as access to laundry, phone, advocacy, and housing registry. Health-related services include 24-hour access to bed rest, home nursing and home care through referral, and accommodation of oxygen tanks. Alcohol and drug use is not permitted on site. Intake hours are 24 hours a day; residents asked to stay on premises between 10 pm to 4 am. Two small pets can be accommodated at a time. Guests may store bikes, and use locker for storage. Wheelchair accessible. Also serves as an extreme weather shelter and warming centre where people can take refuge during severe weather.",604-514-7375,N/A,info@salvationarmy.ca,/result/gateway-of-hope-emergency-shelter-9510062
Gateway of Hope Relief Shelter,"5787 Langley Bypass, Langley, BC V3A 0A9",https://www.gatewayofhope.ca,Year-round shelter provides 30 mats for homeless adults or those at risk of homelessness.,"Provided by The Salvation Army - BC Division221 other services offered by this agencyYear-round shelter provides 30 mats for homeless adults or those at risk of homelessness.Year-round shelter provides 30 mats for homeless adults or those at risk of homelessness. New intakes begin at 10:15 pm. The shelter is open until 7 am, at which point guests are provided breakfast, then must leave the building by 9:30 am. Returning clients must return by 10 pm to keep their mat. One small pet permitted per individual, up to a maximum of two in the shelter in total. No storage provided. Wheelchair accessible.",604-514-7375,N/A,info@gatewayofhope.ca,/result/gateway-of-hope-relief-shelter-51903672
Goodacre Place Emergency Shelter,"3896 Railway Avenue, Smithers, BC V0J 2N3",https://www.scsa.ca,"Provides year-round, low-barrier, emergency housing for homeless adults of any gender.","Provided by Smithers Community Services Association (SCSA)20 other services offered by this agencyProvides year-round, low-barrier, emergency housing for homeless adults of any gender.Provides year-round, low-barrier, emergency housing for homeless adults of any gender. Services include daily meals, showers, laundry facilities, and referrals to community services. Pets are not allowed. Harm reduction focus. People may be admitted when intoxicated, but cannot use on the premises. Accepts inebriated individuals on condition of respectful behaviour. Violence will not be tolerated. Beds are allocated on a first-come, first-served basis. Referral accepted from self or other. Shelter is wheelchair accessible.",250-847-4660,N/A,general@scsa.ca,/result/goodacre-place-emergency-shelter-83207429
Guildford Shelter,"14716 104th Avenue, Surrey, BC V3R 1M3",https://lookoutsociety.ca,"A low-barrier, 24-hour shelter for homeless adults which offers 20 beds for men, eight beds for women, six couples suites, and six unisex beds in the lounge; accepts transgender individuals.","Provided by Lookout Housing and Health Society69 other services offered by this agencyA low-barrier, 24-hour shelter for homeless adults which offers 20 beds for men, eight beds for women, six couples suites, and six unisex beds in the lounge; accepts transgender individuals.A low-barrier, 24-hour shelter for homeless adults which offers 20 beds for men, eight beds for women, six couples suites, and six unisex beds in the lounge; accepts transgender individuals. There is a separate men's and women's area. Provides three meals a day plus snacks. Has shower and laundry facilities and lockers. Health-related services include medication management, home nursing through referral, home care through referral, and oxygen tank storage. Pets are welcome. Wheelchair accessible. Cannot accommodate carts. Operated in partnership with and funded by BC Housing and by the City of Surrey.",778-293-0889,N/A,Guildfordshelter@lookoutsociety.ca,/result/guildford-shelter-45758432
Hamilton Emergency Shelter,"55 Sixth Avenue South, Williams Lake, BC V2G 1K8",https://www.cariboo.cmha.bc.ca,"Provides low-barrier 24-hour emergency shelter, with 17 beds for adults ages 19 and older of all genders.","Provided by Canadian Mental Health Association (CMHA) - Cariboo Chilcotin Branch25 other services offered by this agencyProvides low-barrier 24-hour emergency shelter, with 17 beds for adults ages 19 and older of all genders.Provides low-barrier 24-hour emergency shelter, with 17 beds for adults ages 19 and older of all genders. Can accommodate 1 couple. Services include three meals a day, on-site showers, toiletries and harm reduction supplies. A donation room is available where residents can find clothing, shoes etc. Works with residents to help them obtain ID, and benefits such as income assistance and housing. Also makes referrals to addictions, mental health, and medical professionals. Mental health workers can assist residents on site. Residents are limited to no more than two suitcases of belongings. Tolerates drug and alcohol use from those who are behaving appropriately. Administrative hours are the best time to call about bed availability. Priority acceptance based on need. Must be from Williams Lake in the last three months. Accepts self-referrals. Accepts pets. Facility is not wheelchair accessible. Administrative hours are 8 am to 4 pm Monday to Friday. Funded by BC Housing.",250-855-8771,250-305-4878,hamilton.shelter@cmha.bc.ca,/result/hamilton-emergency-shelter-83095076
Harbour House,"181 Victoria Street West, Kamloops, BC V2B 8P3",https://www.theseed.ca/services,"Provides 12 beds of year-round, 24-hour emergency housing for women (cisgender and transgender), non-binary, and Two-Spirit people.","Provided by The Mustard Seed11 other services offered by this agencyProvides 12 beds of year-round, 24-hour emergency housing for women (cisgender and transgender), non-binary, and Two-Spirit people.Provides 12 beds of year-round, 24-hour emergency housing for women (cisgender and transgender), non-binary, and Two-Spirit people. Zero tolerance for drugs or alcohol on the property, or intoxication while on the property. There is a designated smoking area outside. Services include meals, showers, laundry facilities, and access to system navigation, health and wellness advocates, gender-based violence resources, health services, a foot care clinic, and OAT nurses. Beds are allocated on a first-come, first-served basis. Priority is given to returning guests; once a guest has a bed, it is theirs until discharge. Curfew is at 9 pm. Small storage lockers are available. Maximum stay is generally one year. Pets are not allowed. Not wheelchair accessible. Self referral accepted. Funded by BC Housing.",825-401-2870,N/A,marymuhoza@theseed.ca,/result/harbour-house-84711332
Haven in the Hollow,"32646 Logan Avenue, Mission, BC V2V 6C7",https://missioncommunityservices.com/programs/housing-programs/mcss-emergency-shelter,"A 24-hour, low-barrier emergency shelter for up to 42 men and 15 women ages 19 and older.","Provided by Mission Community Services Society (MCSS)35 other services offered by this agencyA 24-hour, low-barrier emergency shelter for up to 42 men and 15 women ages 19 and older.A 24-hour, low-barrier emergency shelter for up to 42 men and 15 women ages 19 and older. Provides three meals a day, and access community referrals. Intake is ongoing. There is access to harm reduction supplies, and staff assist with support services and make referrals to other shelter and housing programs. Drug use is permitted in designated areas; alochol consumption is not permitted on the property. Accepts pets. Wheelchair accessible. Funded by BC Housing.",604-820-9008,N/A,info@missionmcss.com,/result/haven-in-the-hollow-9507967
Homelessness Services Association of BC (HSABC),"202-26 Lorne Mews, New Westminster, BC V3M 3L7",https://www.hsa-bc.ca,"A solution-focused, member-driven organization that supports shelters, drop-in centres, homeless outreach teams, and other homeless related service providers.","A solution-focused, member-driven organization that supports shelters, drop-in centres, homeless outreach teams, and other homeless related service providers.A solution-focused, member-driven organization that supports shelters, drop-in centres, homeless outreach teams, and other homeless related service providers. Aim is to strengthen and unify services across BC that address the needs of individuals experiencing homelessness. Offers training programs, and conference and networking opportunities. Coordinates the Extreme Weather program and supports members to deliver accessible emergency shelter services. Provides notifications of extreme weather response shelters and warming centres for Metro Vancouver through Facebook: www.facebook.com/HSABC1 and X (formerly Twitter): twitter.com/_HSABC. Also conducts research and develops best practices on responses to homelessness. Office hours are 8:30 am to 5 pm Monday to Friday. Nonprofit society, registered charity.",778-945-7790,N/A,info@hsa-bc.ca,/agency-details/homelessness-services-association-of-bc-hsabc-9490483
Hornby Shelter,"1401 Hornby Street, Vancouver, BC V6Z 1W8",https://communitybuilders.ca/our-sites/hornby-shelter,"Low-barrier shelter provides 52 beds for adults of all genders age 19 and older, including couples.","Provided by Community Builders Group11 other services offered by this agencyLow-barrier shelter provides 52 beds for adults of all genders age 19 and older, including couples.Low-barrier shelter provides 52 beds for adults of all genders age 19 and older, including couples. Offers three meals a day, donated clothing, personal care items, laundry and shower facilities, and access to information about housing and other community services. Limited room for cart storage. Pets are allowed on a leash or in a cage. Partially wheelchair accessible; bathrooms and smoking areas require ability to manage a couple of steps. Intake is 24 hours a day, seven days a week.",604-620-9253,N/A,hornby.shelter@communitybuilders.ca,/result/hornby-shelter-42903157
House of Hope Emergency Shelter - Chilliwack,"Care and Share Centre, 45746 Yale Road,Chilliwack, BC V2P 2N4",https://www.chilliwacksa.ca/emergency-shelters,"Provides a low-barrier, 48-bed shelter for men (cisgender and transgender) ages 19 and up experiencing homelessness.","Provided by The Salvation Army - BC Division221 other services offered by this agencyProvides a low-barrier, 48-bed shelter for men (cisgender and transgender) ages 19 and up experiencing homelessness.Provides a low-barrier, 48-bed shelter for men (cisgender and transgender) ages 19 and up experiencing homelessness. Shelter clients may also access rent supplements, laundry facilities, clothing, and food hampers. Accepts pets. Storage containers and bike lock-up available, but no space for carts. Wheelchair accessible. Maximum stay is 30 days. Intake and shelter hours are 24 hours daily; administration hours are 9 am to 5 pm Monday to Friday. Funded by BC Housing.",604-392-8510,N/A,N/A,/result/house-of-hope-emergency-shelter-chilliwack-58775211
House of Hope Emergency Shelter - Hope,"650 Old Hope Princeton Highway, Hope, BC V0X 1L4",https://hopetransition.org/emergency-shelter-program,"A low-barrier, year-round emergency shelter for adults age 19 and older of any gender who are experiencing homelessness; 14 beds for men and six beds for women in a dormitory setting.","Provided by Hope and Area Transition Society14 other services offered by this agencyA low-barrier, year-round emergency shelter for adults age 19 and older of any gender who are experiencing homelessness; 14 beds for men and six beds for women in a dormitory setting.A low-barrier, year-round emergency shelter for adults age 19 and older of any gender who are experiencing homelessness; 14 beds for men and six beds for women in a dormitory setting. Offers two meals daily, showers, laundry, case management, access to mental health and addiction services, and referral to support services. Lockers are available. Not wheelchair accessible or mobility-friendly. Accepts dogs on a case-by-case basis. Length of stay depends on each individual's case plan. Intake hours are 10 am to 8 pm daily. Office hours are 9 am to 4 pm Monday to Friday. Funded by BC Housing.",604-869-7574,604-869-5111,info@hopetransition.org,/result/house-of-hope-emergency-shelter-hope-9507378
Hyland House - Newton,"6595 King George Boulevard, Surrey, BC V3W 4Z4",https://www.options.bc.ca/program/shelters-housing-services,"Provides year-round, low-barrier, 24-hour emergency housing in single rooms for 35 homeless adults.","Provided by Options Community Services89 other services offered by this agencyProvides year-round, low-barrier, 24-hour emergency housing in single rooms for 35 homeless adults.Provides year-round, low-barrier, 24-hour emergency housing in single rooms for 35 homeless adults. Wheelchair accessible. Pets can be accommodated on a case-by-case basis. Services include showers, laundry facilities, and meals. Other services include employment search assistance, life skills training, vocational/academic education, and reintegration programming. Health-related services include 24-hour access to bed rest, medication storage, and home nursing and home care support (through referral); oxygen tanks are permitted. Length of stay is typically 3 months; longer stays can be accommodated on a case-by-case basis.",604-599-8900,N/A,hyland.house@options.bc.ca,/result/hyland-house-newton-9492466
Imouto Housing for Young Women,"120 Jackson Street, Vancouver, BC V6A 1B5",https://atira.bc.ca/what-we-do/housing/imouto-housing-for-young-women,"Offers long-term transitional housing for 16 young women ages 16 to 24 who are homeless, at risk of homelessness, or have other barriers to accessing housing and support services.","Provided by Atira Women's Resource Society53 other services offered by this agencyOffers long-term transitional housing for 16 young women ages 16 to 24 who are homeless, at risk of homelessness, or have other barriers to accessing housing and support services.Offers long-term transitional housing for 16 young women ages 16 to 24 who are homeless, at risk of homelessness, or have other barriers to accessing housing and support services. Staff is on site 24 hours each day, seven days a week and additional supports are offered by a partnership of community agencies. Offers an intergenerational mentorship program, a community kitchen for residents, and garden. Other services include accompaniment, activity groups, advocacy, communal living space, community garden, community kitchen, emotional support, group support, outreach team, and information and referral. Accepts self-referrals. Rent is charged. Also offers two crisis beds where young women can stay up to 72 hours, during which time efforts will be made to connect them with primary health care and related support services. Not wheelchair accessible.",604-215-0369,N/A,imoutosupport@atira.bc.ca,/result/imouto-housing-for-young-women-9510043
Imperial Shelter,"325 Main Street, Vancouver, BC",https://lookoutsociety.ca,"Provides 20 temporary beds of low-barrier, emergency housing for homeless adults ages 19 and up of all genders.","Provided by Lookout Housing and Health Society69 other services offered by this agencyProvides 20 temporary beds of low-barrier, emergency housing for homeless adults ages 19 and up of all genders.Provides 20 temporary beds of low-barrier, emergency housing for homeless adults ages 19 and up of all genders. Line up shelter, with beds allocated on a first-come, first-served basis. Shelter guests are booked out daily, but are free to line up every day. Serves meals, snacks, and coffee/breakfast. Harm reduction supplies are available on-site. There is a one to two bag limit, and no storage available for carts. Pets are allowed. Accepts self-referrals. Wheelchair accessible. Shelter guest hours are 4:15 pm to 7:30 am. Funded by BC Housing.",604-209-5648,N/A,Imperial@lookoutsociety.ca,/result/imperial-shelter-88538234
In From the Cold Emergency Shelter,"268 Fulford-Ganges Road, Salt Spring Island, BC V8K 2K6",https://saltspringcommunityservices.ca/services/housing/emergency-shelter,"Year-round shelter provides 15 beds for men and women who are homeless or in need of shelter, on a first-come, first-served basis.","Provided by Salt Spring and Southern Gulf Islands Community Services Society16 other services offered by this agencyYear-round shelter provides 15 beds for men and women who are homeless or in need of shelter, on a first-come, first-served basis.Year-round shelter provides 15 beds for men and women who are homeless or in need of shelter, on a first-come, first-served basis. Also provides guests with one meal daily Monday to Saturday, and access to showers and laundry. Public may also access showers and laundry 9:30 am to 4 pm (last laundry load at 2 pm) Tuesdays, on a first-come, first-served, basis; sign-up available. Operates 6 pm to 8 am, seven days a week; staff remain on-site in the morning to connect guests with community resources. Pets are allowed. Not wheelchair accessible. Also operates an extreme weather response shelter between November 1st and April 15th when weather is extreme.",250-537-9971,N/A,connect@ssics.ca,/result/in-from-the-cold-emergency-shelter-40450266
Joe's Place,"2822 Tetrault Street, Terrace, BC",https://ksansociety.com/joesplace,Provides 40 year-round shelter beds for individuals experiencing homelessness.,"Provided by Ksan House Society16 other services offered by this agencyProvides 40 year-round shelter beds for individuals experiencing homelessness.Provides 40 year-round shelter beds for individuals experiencing homelessness. Operates 24 hours a day, seven days a week. Low barrier shelter for those who may be under the influence of alcohol and drugs. Services include access to showers, laundry, daily meals, and wrap-around support services.",778-634-2454,N/A,ksan@ksansociety.ca,/result/joes-place-71285872
Kamloops Youth Shelter,"290 Maple Street, Kamloops, BC V2B 4A8",https://www.interiorcommunityservices.bc.ca,Offers support services and short-term residential stays (up to 14 days) for youth ages 13 to 18 of all genders.,"Provided by Interior Community Services (ICS)33 other services offered by this agencyOffers support services and short-term residential stays (up to 14 days) for youth ages 13 to 18 of all genders.Offers support services and short-term residential stays (up to 14 days) for youth ages 13 to 18 of all genders. Services include basic needs support for food security, emergency shelter, and advocacy. Encourages youth to act responsibly and safely, and to make positive changes in their lives. In partnership with Youth Street Outreach services, assists those who are street involved to adopt a healthier lifestyle. The Kamloops Youth Shelter provides a safe place to stay year-round, 24 hours a day, seven days a week; self-referral is welcome. Not wheelchair accessible.",778-470-0991,1-855-629-SAFE (1-855-629-7233),kys@interiorcommunityservices.bc.ca,/result/kamloops-youth-shelter-9507052
