Shelter Name,Service Provider,Address,Clean Address,Postal Code,Latitude,Longitude,Google Maps Link,Google Directions Link,Website,ResultCard Description,ResultCard Description Full,Phone 1,Phone 2,Email
Elizabeth Gurney House,Elizabeth Fry Society of Greater Vancouver,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://efry.com,"Provides year-round, low barrier, 24-hour emergency housing for women (cisgender and transgender) with or without children, who are homeless and without resources in New Westminster.","Provides year-round, low barrier, 24-hour emergency housing for women (cisgender and transgender) with or without children, who are homeless and without resources in New Westminster. Accepts children up to age 18. Services include meals, basic necessities, laundry facilities, and crisis intervention. Also offers life-skills training and one-to-one support with housing, legal, and social service issues. Health-related services include supports through referral. Capacity is 12 beds; families are housed in one room and singles share a room. No substance use is permitted on the premises, and all medication must be turned over to staff. Referral accepted from self or other; a short screening assessment is done prior to intake. Pets are not allowed. Wheelchair accessible.",604-524-0710,N/A,N/A
Emerald Centre,Canadian Mental Health Association (CMHA) - Kamloops Branch,"271 Victoria Street West, Kamloops, BC V2C 1A5","271 Victoria Street West, Kamloops, BC",V2C 1A5,50.6776822,-120.3458951,"https://www.google.com/maps/search/?api=1&query=271+Victoria+Street+West,+Kamloops,+BC+V2C+1A5","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=271+Victoria+Street+West,+Kamloops,+BC+V2C+1A5",https://www.kamloops.cmha.bc.ca/programs-services/homeless-shelter,"A co-ed, low-barrier shelter that provides 40 beds to members of the community who are experiencing homelessness; accepts all genders.","A co-ed, low-barrier shelter that provides 40 beds to members of the community who are experiencing homelessness; accepts all genders. 24-hour shelter that operates daily, year-round. Clients are provided with a clean bed, meals, and access to support workers, plus a case management team that works with them to help access available services and find stable housing. Offers education on safe drug use and incorporates harm reduction services for people who use substances, including distributing supplies for safe drug use and referring clients to additional support programs and services. Funded by BC Housing.",250-372-3031,N/A,emerald.centre@cmha.bc.ca
Emergency Shelter - Powell River (qathet),LIFT Community Services,"4746 Joyce Avenue, Powell River, BC V8A 3B6","4746 Joyce Avenue, Powell River, BC",V8A 3B6,49.8476741,-124.5220007,"https://www.google.com/maps/search/?api=1&query=4746+Joyce+Avenue,+Powell+River,+BC+V8A+3B6","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=4746+Joyce+Avenue,+Powell+River,+BC+V8A+3B6",https://www.liftcommunityservices.org,"Year-round, 24-hour low-barrier emergency shelter provides 20 beds for homeless adults of any gender.","Year-round, 24-hour low-barrier emergency shelter provides 20 beds for homeless adults of any gender. Provides daily meals, resource navigation, harm reduction supplies, laundry facilities, and connection to community supports. Intake starts at 4 pm daily; beds available on a first-come, first-served basis. Separate rooms are available for women and gender diverse individuals. Storage space is available. Pets are allowed. Not wheelchair accessible. Funded by BC Housing.",604-578-0633,N/A,housingservices@liftcommunityservices.org
Emergency Shelter for Men,Union Gospel Mission (UGM),"601 East Hastings Street, Vancouver, BC V6A 1J7","601 East Hastings Street, Vancouver, BC",V6A 1J7,49.28142805,-123.09106915555782,"https://www.google.com/maps/search/?api=1&query=601+East+Hastings+Street,+Vancouver,+BC+V6A+1J7","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=601+East+Hastings+Street,+Vancouver,+BC+V6A+1J7",https://www.ugm.ca,"Provides a clean, safe, sober environment for up to 92 self-identified men from 9 pm to 6:50 am daily.","Provides a clean, safe, sober environment for up to 92 self-identified men from 9 pm to 6:50 am daily. Consists of five separate rooms with bunk beds. Tickets to reserve spot on the waitlist are handed out at 5 pm at reception. Intake occurs on a first-come, first-served basis, and begins at 9 pm at the Cornerstone Drop-In Centre (entrance on Princess Street). Offers showers, limited laundry facilities, case management, and referrals to housing, recovery, legal, and immigration services. Bible devotions, spiritual supports, and prayer are available. Individuals must be able to access services independently as there are no one-on-one or medical supports. Does not accept pets (licensed guide dogs allowed). Does not have cart or baggage storage. Wheelchair accessible.",604-253-3323,N/A,ugm@ugm.ca
Evelyne Saller Temporary Winter Response Shelter,City of Vancouver,"404 Alexander Street, Vancouver, BC V6A 1C6","404 Alexander Street, Vancouver, BC",V6A 1C6,49.2835107,-123.103694,"https://www.google.com/maps/search/?api=1&query=404+Alexander+Street,+Vancouver,+BC+V6A+1C6","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=404+Alexander+Street,+Vancouver,+BC+V6A+1C6",N/A,"Provides seasonal, low-barrier, overnight emergency housing on mats for 42 homeless adults from November 1st to April 30th.","Provides seasonal, low-barrier, overnight emergency housing on mats for 42 homeless adults from November 1st to April 30th.  Shelter hours are 11 pm to 7:30 am Monday to Friday, and 10 pm to 7:30 am Saturdays and Sundays. Mats are allocated on a first-come, first-served basis. Please call first. Community members can register for a mat, in person only, with the Shelter Coordinator. Guests must be physically able to get on and off the mats without any physical assistance. If registered patrons do not arrive by 11:15 pm Monday to Friday, or 10:15 pm Saturday and Sunday, their mat will be given away, for that night, on a first come first served basis to unregistered folks waiting outside. If registered patrons do not show up two nights in a row, they will lose their reserved mat. No admittance after 1 am. Evening snack and morning snack and meal ticket provided. Storage space for carts is not available. Pets are not allowed. Shelter is wheelchair accessible however guests must transfer to and from their mats independently.",604-665-3075,N/A,N/A
Evergreen Emergency Shelter,The Salvation Army - BC Division,"690 Evergreen Road, Campbell River, BC V9W 3R8","690 Evergreen Road, Campbell River, BC",V9W 3R8,50.0075131,-125.278577,"https://www.google.com/maps/search/?api=1&query=690+Evergreen+Road,+Campbell+River,+BC+V9W+3R8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=690+Evergreen+Road,+Campbell+River,+BC+V9W+3R8",https://www.oceancrestchurch.org/serving-campbell-river,"Provides year-round, low-barrier, 24-hour emergency housing for 22 adults of all genders experiencing homelessness.","Provides year-round, low-barrier, 24-hour emergency housing for 22 adults of all genders experiencing homelessness. Services include breakfast and dinner daily as well as lunch on the weekends. Other services include laundry, hygiene supplies, information, and referrals to community services. Health-related services include harm reduction information and supplies. Also offers medication storage but staff cannot administer. Provides limited storage space including a bike rack. Pets are allowed on a case-by-case basis. People may be admitted when intoxicated, but cannot use on the premises, must be medically independent, and must agree to behavioural guidelines. Referral accepted from self or other. Shelter is not wheelchair accessible.",250-287-3791,N/A,OceanCrest.ShelterServices@salvationarmy.ca
Extreme Weather Response (EWR) - Kamloops,N/A,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,N/A,"Shelters operate from November 1 to March 31 when weather is extreme (temperatures -10 Celsius or below including wind chill, or if five centimetres of snow is expected).","Shelters operate from November 1 to March 31 when weather is extreme (temperatures -10 Celsius or below including wind chill, or if five centimetres of snow is expected). Local coordinators monitor the weather and need for shelter in the community, and decide when this takes effect. Merit Place Shelter (Operated by Canadian Mental Health Association (CMHA) - Kamloops Branch)Location: 725 Notre Dame DrivePhone: 236-425-0341Capacity: 10 matsHours: from 9:30 pm",N/A,N/A,N/A
Extreme Weather Response (EWR) - Ladysmith,N/A,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,N/A,"Shelters operate from October 1 to March 31 when weather is extreme (temperatures below -2 Celsius, significant snow, freezing rain, sustained high wind, and/or temperatures near zero with rain).","Shelters operate from October 1 to March 31 when weather is extreme (temperatures below -2 Celsius, significant snow, freezing rain, sustained high wind, and/or temperatures near zero with rain). Local coordinators monitor the weather and need for shelter in the community, and decide when this takes effect. Note that this is a list of Extreme Weather Response shelters that MIGHT be activated this season. Call to ensure that an EWR activation is in effect for a given shelter.Ladysmith Resources Centre Association EWRLocation: 631 1st Avenue, Ladysmith (The Rialto) in basement; entrance is at the backPhone: 250-924-4666Capacity: 10 adults; first-come, first-serveHours: 24 hoursSpecial: Offers showers and laundry, warm clothing, an evening meal, breakfast, a snack pack. Also provides harm reduction supplies. Not wheelchair accessible. No pets allowed. No storage for bikes, though they can be locked. Totes available for personal belongings.",N/A,N/A,N/A
Extreme Weather Response (EWR) - Richmond,N/A,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,N/A,"Shelters operate from November 1 to March 31 when weather is extreme (temperatures below -5 Celsius, significant snow, freezing rain, sustained high wind, and/or temperatures near zero with multiple days of continuous rain).","Shelters operate from November 1 to March 31 when weather is extreme (temperatures below -5 Celsius, significant snow, freezing rain, sustained high wind, and/or temperatures near zero with multiple days of continuous rain). Local coordinators monitor the weather and need for shelter in the community, and decide when this takes effect.Note that this is a list of Extreme Weather Response shelters that MIGHT be activated this season. Call to ensure that an EWR activation is in effect for a given shelter.Brighouse Park Overnight Warming Centre Location: 7840 Granville AvenueCapacity: 15 matsHours: 8 pm to 8 amSouth Arm Pool Overnight Warming Centre Location: 10100 South Arm PlacePhone: 604-352-3812Capacity: 18Hours: 7 pm to 7 am",N/A,N/A,N/A
Extreme Weather Response (EWR) - Surrey,N/A,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,N/A,"Shelters operate when weather is extreme (temperatures below -2 Celsius, significant snow, freezing rain, sustained high wind, and/or temperatures near zero with rain).","Shelters operate when weather is extreme (temperatures below -2 Celsius, significant snow, freezing rain, sustained high wind, and/or temperatures near zero with rain). Local coordinators monitor the weather and need for shelter in the community, and decide when this takes effect. Note that this is a list of Extreme Weather Response shelters that MIGHT be activated this season. Call to ensure that an EWR activation is in effect for a given shelter.Nightshift Ministries EWR (Operated by Surrey Urban Mission Society - SUMS)Location: 10635 King George Boulevard Phone: 604-581-5172 (SUMS)Capacity: 15 AdultsHours: 11 pm to 6:30 am; intake open until site is fullSpecial: No pets allowed. No cart storage. Not wheelchair accessible. Breakfast served at SUMS in the morning.South Surrey Recreation and Arts CentreLocation: 14601 20th Avenue, Surrey (Entrance will be near the lower parking lot on the southeast corner)Phone: 778-240-6907Capacity: 45 AdultsHours: 10 pm to 7 am; open overnight during EWR alerts onlySpecial: Meals provided. Couples welcome. Wheelchair accessible. Pets allowed. Gift cards and Transit passes are available. Surrey Alliance Church (Operated by Lookout Society)Location: 13474 96th AvenuePhone: 672-337-3649Capacity: 30 mats; intake is open until site is fullHours: 9:30 pm to 7:30 amSpecial: Serves all genders ages 19+; can accommodate couples. Dinner and breakfast available, bus tickets provided upon exit. Cart storage available outside of building. No showers or laundry onsite. No pets are accepted. Wheelchair accessible.Surrey Welcome Hub Shelter (Operated by Surrey Urban Mission Society - SUMS)Location: 13545 King George BoulevardPhone: 604-585-1023Capacity: 15 AdultsHours: 10 pm to 7 amSpecial: No pets allowed. No cart storage. Not wheelchair accessible. Can accommodate couples. Snacks and hot beverages served.",N/A,N/A,N/A
Extreme Weather Response (EWR) - Vancouver,N/A,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,N/A,"Shelters operate from October 18 to March 31 when weather is extreme (temperatures below -2 Celsius, significant snow, freezing rain, sustained high wind, and/or temperatures near zero with rain).","Shelters operate from October 18 to March 31 when weather is extreme (temperatures below -2 Celsius, significant snow, freezing rain, sustained high wind, and/or temperatures near zero with rain). Local coordinators monitor the weather and need for shelter in the community, and decide when this takes effect. Note that this is a list of Extreme Weather Response shelters that MIGHT be activated this season. Call to ensure that an EWR activation is in effect for a given shelter.Aboriginal Front Door SocietyLocation: 390 Main Street (Entrance at 205 East Hastings Street)Phone: 604-428-1908Capacity: 34 adultsHours: 11 pm to 7 am; doors are locked at 1 am (as to allow guests to sleep however if space allows may take-in late night guests)Special: Drinks and snacks served. Storage daily, please check in before 11 pm for storage options. Couples welcome. Wheelchair Accessible. No pets.Belkin House EWRLocation: 555 Homer StreetPhone: 604-681-3405Capacity: 18 men, 7 womenHours: 9 pm to 7 am (lineup starting at 7 pm to get a ticket at 8 pm for admittance at 9 pm)Special: Breakfast served. Not wheelchair accessible. No pets.Youth onlyDirections Youth Services CentreLocation: 1138 Burrard StreetPhone: 604-633-1472 Local 1Capacity: 10Hours: 10 pm to 8 am (signup starts at 10 pm, and mats are made available at midnight)Special: Maximum age is 24 years old. Wheelchair accessible. A maximum four pets can be accommodated. No cart storage, but personal belongings can be stored.",N/A,N/A,N/A
Extreme Weather Response (EWR) - Whistler,N/A,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,N/A,"Shelter operates from October 15 to March 31 when weather is extreme (temperatures below -10 Celsius, or temperatures of 0 Celsius or below with adverse weather conditions such as snowfall or heavy rainfall).","Shelter operates from October 15 to March 31 when weather is extreme (temperatures below -10 Celsius, or temperatures of 0 Celsius or below with adverse weather conditions such as snowfall or heavy rainfall). Local coordinators monitor the weather and need for shelter in the community, and decide when this takes effect.Whistler Extreme Weather Shelter Location: 8000 Nesters RoadPhone: 604-932-0113 (Whistler Community Services Society (WCSS))Hours: 6 pm to 8 am; doors lock at 11 pm, but can still accept people needing shelterSpecial: Wheelchair accessible. Warm food and beverages provided. WCSS Outreach services are available to anyone needing additional support during the day, and through an overnight support worker.",N/A,N/A,N/A
Extreme Weather Response (EWR) Program,BC Housing,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://www.bchousing.org/housing-assistance/homelessness-services/emergency-shelter-program,Provides individuals and families in need with temporary shelter beds during extreme weather conditions between November 1st through to March 31st.,"Provides individuals and families in need with temporary shelter beds during extreme weather conditions between November 1st through to March 31st. Each community decides on a local basis when to issue an Extreme Weather Alert based on current conditions and local forecasts, determining when locations will be open, and the number of spaces available. Shelters remain open only for the duration of the Extreme Weather Alert. The online BC Shelter Map shows locations of EWR shelters across the province, and whether they are open or closed.",604-433-2218,1-800-257-7756,N/A
Father Poullet Shelter,Fort Nelson Aboriginal Friendship Society,"4903 48th Avenue, Fort Nelson, BC V0C 1R0","4903 48th Avenue, Fort Nelson, BC",V0C 1R0,58.8014408,-122.6918609,"https://www.google.com/maps/search/?api=1&query=4903+48th+Avenue,+Fort+Nelson,+BC+V0C+1R0","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=4903+48th+Avenue,+Fort+Nelson,+BC+V0C+1R0",https://www.fnafs.org,Minimal barrier emergency shelter for men ages 19 and over with six beds and a refuge area.,"Minimal barrier emergency shelter for men ages 19 and over with six beds and a refuge area. Provides snacks, food vouchers, clothing, toiletries, showers, and free off-site laundry services. Also provides information and referrals to community services, and case planning. Transportation to shelter and to appointments is available. Blankets are given to turnaways. Zero tolerance for alcohol and drug use. Intake and shelter operates 24 hours daily; clients are expected to vacate premises between 10 am and 3 pm for personal activities, except during extreme weather conditions or a crisis. Limited storage space. Pets cannot be accommodated. Not wheelchair accessible. Funded by BC Housing.",250-774-3816,250-774-2993,emergencyshelter.fnafs@northwestel.net
First Unitarian Fellowship of Nanaimo,N/A,"1-595 Townsite Road, Nanaimo, BC V9S 1K9","595 Townsite Road, Nanaimo, BC",V9S 1K9,49.1768326,-123.95471749101061,"https://www.google.com/maps/search/?api=1&query=1-595+Townsite+Road,+Nanaimo,+BC+V9S+1K9","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1-595+Townsite+Road,+Nanaimo,+BC+V9S+1K9",https://www.ufon.ca/weather-shelter,Operates the year-round Nanaimo Unitarian Shelter emergency shelter with 25 beds for adults of all genders.,"Operates the year-round Nanaimo Unitarian Shelter emergency shelter with 25 beds for adults of all genders. Offers dinner and breakfast daily, laundry service, and other supports. Accepts pets. Hours are 5 pm to 7:30 am. Also open during the day for previous night's guests during extreme weather emergencies. Funded by BC Housing. Also operates a free shower program in partnership with City of Nanaimo at Caledonia Park (110 Wall Street) from 7 am to 12 noon Monday to Friday. Last shower starts at 11:30 am; towels and toiletries provided. Shower program funded by City of Nanaimo and Government of Canada.",250-754-3720,N/A,shelter@ufon.ca
First United Shelter Program,First United Church Community Ministry Society,"467 Alexander Street, Vancouver, BC V6A 1C6","467 Alexander Street, Vancouver, BC",V6A 1C6,49.2835107,-123.103694,"https://www.google.com/maps/search/?api=1&query=467+Alexander+Street,+Vancouver,+BC+V6A+1C6","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=467+Alexander+Street,+Vancouver,+BC+V6A+1C6",https://firstunited.ca,"Provides year-round, low-barrier, 24-hour emergency shelter for men and women, including who have substance use and/or mental health issues.","Provides year-round, low-barrier, 24-hour emergency shelter for men and women, including who have substance use and/or mental health issues. Provides 25 beds for men, and 26 beds for women, ages 19 and up. Services include daily meals, showers and toiletries. People under the influence may be admitted, and substance use is not allowed inside the building or on the property. Violence is not tolerated. In-out access is allowed 24 hours a day. Pets are permitted on a case-by-case basis. Shelter residents are assigned one locker for the duration of their stay. Health-related services include 21-hour access to bed rest (24 hours with a note from a doctor or nurse), home nursing through referral, and home care through referral. Facility is wheelchair accessible.",604-839-6880,N/A,info@firstunited.ca
Food for the Soul Project Society,N/A,"1-22335 Lougheed Highway, Maple Ridge, BC V2X 2T3","22335 Lougheed Highway, Maple Ridge, BC",V2X 2T3,49.2203728,-122.6617248,"https://www.google.com/maps/search/?api=1&query=1-22335+Lougheed+Highway,+Maple+Ridge,+BC+V2X+2T3","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1-22335+Lougheed+Highway,+Maple+Ridge,+BC+V2X+2T3",https://www.fftsp.org,Provides a variety of services for individuals age 18 and over with addictions or mental health issues in Maple Ridge and Abbotsford.,"Provides a variety of services for individuals age 18 and over with addictions or mental health issues in Maple Ridge and Abbotsford. Also assists those who are low income or experiencing homelessness. Services include primary care as well as groceries, clothing, housing and shelter referrals, and a volunteer-run support group for depression and/or anxiety. The Food for the Soul (OAT) Clinic provides a supportive, multidisciplinary, outpatient opioid substitution therapy program for individuals who use heroin or other opiates; offers assessment, long-term stabilization on methadone or suboxone, and withdrawal management. Clients may qualify for coverage or reimbursement. Also offers free addictions counselling. Staff speak English, Punjabi, and Farsi. Interpretation/translation services available. Clients can book appointments for addictions services online. Wheelchair accessible. Office and clinic hours are 9 am to 5 pm Monday to Friday, and 9 am to 4 pm on weekends, including statutory holidays. Nonprofit society, registered charity.",604-380-1608,N/A,info@fftsp.org
Foxglove Shelter,RainCity Housing and Support Society,"9810 Foxglove Drive, Surrey, BC V3T 4M5","9810 Foxglove Drive, Surrey, BC",V3T 4M5,49.1808752,-122.8326883,"https://www.google.com/maps/search/?api=1&query=9810+Foxglove+Drive,+Surrey,+BC+V3T+4M5","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=9810+Foxglove+Drive,+Surrey,+BC+V3T+4M5",https://www.raincityhousing.org/about/programs,"Provides low-barrier shelter rooms for adults (14 for male-identified individuals, 14 for female-identified individuals, and three for non-binary individuals) who are currently homeless or unstably housed.","Provides low-barrier shelter rooms for adults (14 for male-identified individuals, 14 for female-identified individuals, and three for non-binary individuals) who are currently homeless or unstably housed. Daily meals and laundry facilities are available to all supportive housing and shelter residents. 24-hour support staff provide access to a medication program, overdose prevention services, and Indigenous cultural and peer supports. People accessing enhanced health supports will have access to on-site and in-reach clinical services provided by Fraser Health. No storage space available. Pets are accepted. Wheelchair accessible. Call between 7 am and 3 pm to be added to waitlist.",604-589-0496,N/A,kparker@raincityhousing.org
Fraserside Emergency Family Shelter,Fraserside Community Services Society,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://www.fraserside.bc.ca/social-housing/emergency-family-shelter,"12-bed short-stay, communal living home for families with children and single self-identified women.","12-bed short-stay, communal living home for families with children and single self-identified women. Families can be two-parent families or single parents (men or women and their children); no single men. Includes meals and emergency clothing. Provides assistance with life and parenting skills as well as personal case planning and support with housing and community resources. No alcohol or drug use allowed. Not wheelchair accessible; pets not allowed. Call to arrange intake.",604-525-3929,N/A,info@fraserside.bc.ca
Friendship Lelum Aboriginal Youth Safe House,Tillicum Lelum Aboriginal Friendship Centre,No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://www.tillicumlelum.ca/programs/youth,"Provides short-term, emergency shelter for youth ages 12 to 18 who are experiencing stressful situations and have been identified as at-risk.","Provides short-term, emergency shelter for youth ages 12 to 18 who are experiencing stressful situations and have been identified as at-risk. Works to promote a safe, secure, stable, and nurturing environment. Services include advocacy, referrals, and support. 24-hour shelter, with intake at any time, although pre-arranging an intake time is welcome. Maximum stay is two weeks, but can be extended if necessary. Accepts all genders; individual rooms are available if house isn't full. Indigenous-based programming, but open to all youth. Permission of legal guardian is required. Not able to accommodate pets. Limited storage space for bikes. Wheelchair accessible.",250-753-8266,N/A,N/A
Gateway Shelter,Lookout Housing and Health Society,"10667 135A Street, Surrey, BC V3T 4E3","10667 135A Street, Surrey, BC",V3T 4E3,49.1963791,-122.8470577,"https://www.google.com/maps/search/?api=1&query=10667+135A+Street,+Surrey,+BC+V3T+4E3","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=10667+135A+Street,+Surrey,+BC+V3T+4E3",https://www.lookoutsociety.ca,"A low-barrier, year-round shelter for homeless adults; 32 beds for men, and eight for women.","A low-barrier, year-round shelter for homeless adults; 32 beds for men, and eight for women. The Front Room provides services to residents only and include shower and laundry facilities, reading and television areas, telephone accessibility, and coffee. Lunch is available to residents at 12 noon, and dinner at 5 pm, seven days a week. Health-related services include 24-hour access to bed rest. A safe injection area and smoking tent are available from 1 pm to 3 pm daily; can provide medication storage as requested. Pets are welcome, but will be kept in cages. The Housing Program provides outreach and housing assistance. Can accommodate longer-term stays for individuals who have shown a commitment to finding housing. Referral accepted from self or other. First-come, first served; call for intake. Wheelchair accessible. Operated in partnership with and funded by BC Housing.",604-589-7777,N/A,surrey.shelter@lookoutsociety.ca
Gateway of Hope Emergency Shelter,The Salvation Army - BC Division,"5787 Langley Bypass, Langley, BC V3A 0A9","5787 Langley Bypass, Langley, BC",V3A 0A9,49.1114812,-122.6450212,"https://www.google.com/maps/search/?api=1&query=5787+Langley+Bypass,+Langley,+BC+V3A+0A9","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=5787+Langley+Bypass,+Langley,+BC+V3A+0A9",https://www.gatewayofhope.ca/gateway-services/emergency-shelter,Provides 32 emergency shelter beds for adults who are homeless or at risk of homelessness.,"Provides 32 emergency shelter beds for adults who are homeless or at risk of homelessness. Accepts all genders; accommodation is in two dorms with 22 beds for masculine-identifying individuals and 10 beds for feminine-identifying individuals. Shelter guests are provided with three hot meals a day, as well as access to laundry, phone, advocacy, and housing registry. Health-related services include 24-hour access to bed rest, home nursing and home care through referral, and accommodation of oxygen tanks. Alcohol and drug use is not permitted on site. Intake hours are 24 hours a day; residents asked to stay on premises between 10 pm to 4 am. Two small pets can be accommodated at a time. Guests may store bikes, and use locker for storage. Wheelchair accessible. Also serves as an extreme weather shelter and warming centre where people can take refuge during severe weather.",604-514-7375,N/A,info@salvationarmy.ca
Gateway of Hope Relief Shelter,The Salvation Army - BC Division,"5787 Langley Bypass, Langley, BC V3A 0A9","5787 Langley Bypass, Langley, BC",V3A 0A9,49.1114812,-122.6450212,"https://www.google.com/maps/search/?api=1&query=5787+Langley+Bypass,+Langley,+BC+V3A+0A9","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=5787+Langley+Bypass,+Langley,+BC+V3A+0A9",https://www.gatewayofhope.ca,Year-round shelter provides 30 mats for homeless adults or those at risk of homelessness.,"Year-round shelter provides 30 mats for homeless adults or those at risk of homelessness. New intakes begin at 10:15 pm. The shelter is open until 7 am, at which point guests are provided breakfast, then must leave the building by 9:30 am. Returning clients must return by 10 pm to keep their mat. One small pet permitted per individual, up to a maximum of two in the shelter in total. No storage provided. Wheelchair accessible.",604-514-7375,N/A,info@gatewayofhope.ca
Goodacre Place Emergency Shelter,Smithers Community Services Association (SCSA),"3896 Railway Avenue, Smithers, BC V0J 2N3","3896 Railway Avenue, Smithers, BC",V0J 2N3,54.78464,-127.1850249,"https://www.google.com/maps/search/?api=1&query=3896+Railway+Avenue,+Smithers,+BC+V0J+2N3","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=3896+Railway+Avenue,+Smithers,+BC+V0J+2N3",https://www.scsa.ca,"Provides year-round, low-barrier, emergency housing for homeless adults of any gender.","Provides year-round, low-barrier, emergency housing for homeless adults of any gender. Services include daily meals, showers, laundry facilities, and referrals to community services. Pets are not allowed. Harm reduction focus. People may be admitted when intoxicated, but cannot use on the premises. Accepts inebriated individuals on condition of respectful behaviour. Violence will not be tolerated. Beds are allocated on a first-come, first-served basis. Referral accepted from self or other. Shelter is wheelchair accessible.",250-847-4660,N/A,general@scsa.ca
Guildford Shelter,Lookout Housing and Health Society,"14716 104th Avenue, Surrey, BC V3R 1M3","14716 104th Avenue, Surrey, BC",V3R 1M3,,,"https://www.google.com/maps/search/?api=1&query=14716+104th+Avenue,+Surrey,+BC+V3R+1M3","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=14716+104th+Avenue,+Surrey,+BC+V3R+1M3",https://lookoutsociety.ca,"A low-barrier, 24-hour shelter for homeless adults which offers 20 beds for men, eight beds for women, six couples suites, and six unisex beds in the lounge; accepts transgender individuals.","A low-barrier, 24-hour shelter for homeless adults which offers 20 beds for men, eight beds for women, six couples suites, and six unisex beds in the lounge; accepts transgender individuals. There is a separate men's and women's area. Provides three meals a day plus snacks. Has shower and laundry facilities and lockers. Health-related services include medication management, home nursing through referral, home care through referral, and oxygen tank storage. Pets are welcome. Wheelchair accessible. Cannot accommodate carts. Operated in partnership with and funded by BC Housing and by the City of Surrey.",778-293-0889,N/A,Guildfordshelter@lookoutsociety.ca
Hamilton Emergency Shelter,Canadian Mental Health Association (CMHA) - Cariboo Chilcotin Branch,"55 Sixth Avenue South, Williams Lake, BC V2G 1K8","55 Sixth Avenue South, Williams Lake, BC",V2G 1K8,,,"https://www.google.com/maps/search/?api=1&query=55+Sixth+Avenue+South,+Williams+Lake,+BC+V2G+1K8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=55+Sixth+Avenue+South,+Williams+Lake,+BC+V2G+1K8",https://www.cariboo.cmha.bc.ca,"Provides low-barrier 24-hour emergency shelter, with 17 beds for adults ages 19 and older of all genders.","Provides low-barrier 24-hour emergency shelter, with 17 beds for adults ages 19 and older of all genders. Can accommodate 1 couple. Services include three meals a day, on-site showers, toiletries and harm reduction supplies. A donation room is available where residents can find clothing, shoes etc. Works with residents to help them obtain ID, and benefits such as income assistance and housing. Also makes referrals to addictions, mental health, and medical professionals. Mental health workers can assist residents on site. Residents are limited to no more than two suitcases of belongings. Tolerates drug and alcohol use from those who are behaving appropriately. Administrative hours are the best time to call about bed availability. Priority acceptance based on need. Must be from Williams Lake in the last three months. Accepts self-referrals. Accepts pets. Facility is not wheelchair accessible. Administrative hours are 8 am to 4 pm Monday to Friday. Funded by BC Housing.",250-855-8771,250-305-4878,hamilton.shelter@cmha.bc.ca
